X,Y, Penetration Depth, Penetration Angle, Seconds to Capture
80,25,2,0,0.5
80,33.75,2,0,0.5
80,42.5,2,0,0.5
80,51.25,2,0,0.5
80,60,2,0,0.5
70,25,2,0,0.5
70,33.75,2,0,0.5
70,42.5,2,0,0.5
70,51.25,2,0,0.5
70,60,2,0,0.5
60,25,2,0,0.5
60,33.75,2,0,0.5
60,42.5,2,0,0.5
60,51.25,2,0,0.5
60,60,2,0,0.5
50,25,2,0,0.5
50,33.75,2,0,0.5
50,42.5,2,0,0.5
50,51.25,2,0,0.5
50,60,2,0,0.5
40,25,2,0,0.5
40,33.75,2,0,0.5
40,42.5,2,0,0.5
40,51.25,2,0,0.5
40,60,2,0,0.5
30,25,2,0,0.5
30,33.75,2,0,0.5
30,42.5,2,0,0.5
30,51.25,2,0,0.5
30,60,2,0,0.5
20,25,2,0,0.5
20,33.75,2,0,0.5
20,42.5,2,0,0.5
20,51.25,2,0,0.5
20,60,2,0,0.5
10,60,2,0,0.5
10,51.25,2,0,0.5
10,42.5,2,0,0.5
10,33.75,2,0,0.5
10,25,2,0,0.5
