X,Y, Penetration Depth, Penetration Angle, Seconds to Capture
109,135,15.4,0,1
109,135,15.425,0,1
109,135,15.45,0,1
109,135,15.475,0,1



109,135,15.4,0,1
109,135,15.5,0,1
109,135,15.6,0,1
109,135,15.7,0,1
109,135,15.8,0,1
109,135,15.9,0,1

109,135,0,0,30
109,135,0,0,45
